قيمة - ريال,الوزن الصافي بالكيلو,رمز التعرفة 4 خانات,السنة,الربع,الدولة
3113335.8409,73403.786,9506,2025,Q2-2025,فيتنام
379.76,2,6209,2025,Q2-2025,قبرص
508631.88,5472,8480,2025,Q2-2025,جنوب إفريقيا
31800830.7245,4009247.476,5515,2025,Q2-2025,الصين
1801189.83,863.2,3006,2025,Q2-2025,الدنمارك
32025.37,976,9703,2025,Q2-2025,عمان
117047738.8029,602050.732,8504,2025,Q2-2025,الولايات المتحدة
1491.11,6.5,4201,2025,Q2-2025,ألمانيا
1169097.52,37024.64,2530,2025,Q2-2025,إسبانيا
2285433.35,12751.076,8538,2025,Q2-2025,اليابان
479781.94,13367.37,3307,2025,Q2-2025,جمهورية التشيك
1350.95,285,7107,2025,Q2-2025,الهند
108902455.24,8799.22,8517,2025,Q2-2025,فنلندا
131946.2,146,8423,2025,Q2-2025,الدنمارك
247585.52,2.5,7110,2025,Q2-2025,ألمانيا
1201.14,106,8208,2025,Q2-2025,اليمن
8541.57,3159,9401,2025,Q2-2025,سوريا
313040.78,53.471,6202,2025,Q2-2025,فرنسا
9822.41,500,8507,2025,Q2-2025,فنلندا
35246.24,400,2009,2025,Q2-2025,مكسيك
250102.61,1422,3003,2025,Q2-2025,البرازيل
39972670.09,2042352.56,7411,2025,Q2-2025,الصين
1567.68,1,0303,2025,Q2-2025,بلغاريا
550713.33,83540,8001,2025,Q2-2025,البحرين
717334.73,304916.25,7309,2025,Q2-2025,جنوب إفريقيا
583.65,23.25,2530,2025,Q2-2025,هونج كونج
26395.24,607.4,8402,2025,Q2-2025,جمهورية التشيك
1396.82,130.85,7615,2025,Q2-2025,ماليزيا
3390.47,1,6406,2025,Q2-2025,لاتفيا
87934.63,10187,2009,2025,Q2-2025,أستراليا
11948.44,6,8462,2025,Q2-2025,الدنمارك
7832097.16,526077.1,5408,2025,Q2-2025,الصين
96781.61,11.35,7105,2025,Q2-2025,الولايات المتحدة
2736456.77,730161.88,2202,2025,Q2-2025,الإمارات
918099.35,34590.816,4909,2025,Q2-2025,الصين
1704.88,0.6,2925,2025,Q2-2025,كندا
2683039.8092,42974.034,9405,2025,Q2-2025,رومانيا
1633098.66,61024.83,8546,2025,Q2-2025,المملكة المتحدة
1687.6,1,4420,2025,Q2-2025,بنجلادش
297.95,5,6003,2025,Q2-2025,كوريا الجنوبية
5031490.42,746550,3901,2025,Q2-2025,الكويت
1395716.16,85152.864,2009,2025,Q2-2025,المملكة المتحدة
3150832.9773,59545.196,4016,2025,Q2-2025,بولندا
281447.25,4993.89,8203,2025,Q2-2025,تركيا
1850761.75,4283.42,8537,2025,Q2-2025,أوكرانيا
154643.36,1280.198,9207,2025,Q2-2025,الولايات المتحدة
6820658.7904,284727.705,3924,2025,Q2-2025,تايلاند
336.91,145,3303,2025,Q2-2025,سان مارينو
11429.38,10,7218,2025,Q2-2025,السويد
707570.14,10021.78,8001,2025,Q2-2025,الإمارات
860866.8,115472,3404,2025,Q2-2025,ماليزيا
61183.73,175,8607,2025,Q2-2025,سلوفانيا
17149765.5,17921.323,8473,2025,Q2-2025,فيتنام
4341253.07,46265,8504,2025,Q2-2025,روسيا
1603622.06,32201,3307,2025,Q2-2025,بلغاريا
14053.38,412,5201,2025,Q2-2025,بلجيكا
1072.62,124,9801,2025,Q2-2025,تايوان
15,144,8483,2025,Q2-2025,باكستان
7185.8,121.17,8210,2025,Q2-2025,إيطاليا
44246.21,6408.32,9802,2025,Q2-2025,بنجلادش
336395.86,80451.78,1804,2025,Q2-2025,ألمانيا
3320.28,4,5808,2025,Q2-2025,تايوان
25479110.4732,97973.413,8503,2025,Q2-2025,الولايات المتحدة
25845.55,98,5111,2025,Q2-2025,المملكة المتحدة
16875,600,2827,2025,Q2-2025,تايوان
6713.6,82.76,7324,2025,Q2-2025,اليونان
163.35,100,9606,2025,Q2-2025,أوروبا
1750290.98,181984.54,1901,2025,Q2-2025,تركيا
4289.64,1,8466,2025,Q2-2025,سوازي لاند
26657812.97,1706548.746,0902,2025,Q2-2025,الهند
1025.68,0.953,6110,2025,Q2-2025,ماكاو
132602.09,11786,7310,2025,Q2-2025,البحرين
2460360,91800,8704,2025,Q2-2025,مصر
739641.86,24270,3305,2025,Q2-2025,بيرو
20107.65,300,1521,2025,Q2-2025,البرازيل
3034969.54,37198.24,8501,2025,Q2-2025,فنلندا
4538236.5,115193.61,0802,2025,Q2-2025,مكسيك
316825.52,22271.3,2104,2025,Q2-2025,الفلبين
3994645.61,7812.57,9018,2025,Q2-2025,بلغاريا
3093892.52,87398.17,8436,2025,Q2-2025,بلجيكا
1876516,178058.08,8507,2025,Q2-2025,الإمارات
308906.99,72123,3505,2025,Q2-2025,باكستان
32766.71,61,7508,2025,Q2-2025,سويسرا
10103658.8649,470482.975,8459,2025,Q2-2025,الصين
10807.69,3909.62,6803,2025,Q2-2025,الهند
1048.22,0.2,4602,2025,Q2-2025,جورجيا
48.7,7,2306,2025,Q2-2025,تايلاند
419346.44,436.824,4202,2025,Q2-2025,المغرب
6735.25,200,7011,2025,Q2-2025,ماليزيا
363367.46,40430,0403,2025,Q2-2025,هنجاريا
12067.5,732,3306,2025,Q2-2025,كندا
198013.8,4680,1518,2025,Q2-2025,الولايات المتحدة
2451.94,3,8527,2025,Q2-2025,بولندا
880845.16,132734.8,1702,2025,Q2-2025,الإمارات
5126.53,10.57,7311,2025,Q2-2025,هنجاريا
80506.26,3785,0808,2025,Q2-2025,هولندا
5450914.46,9133.23,8529,2025,Q2-2025,فرنسا
200.95,5.23,6813,2025,Q2-2025,لوكسمبورج
2206.65,23,6001,2025,Q2-2025,البحرين
1211286.29,87405.784,2007,2025,Q2-2025,الإمارات
1500,968,9801,2025,Q2-2025,الإكوادور
28501.77,1561.231,9006,2025,Q2-2025,تركيا
904381.53,8081.659,6112,2025,Q2-2025,سريلانكا
78564057.3,1815904.93,7411,2025,Q2-2025,الولايات المتحدة
54007.8988,905,0901,2025,Q2-2025,البرتغال
303464.75,46000,0811,2025,Q2-2025,تركيا
453379.37,27800,7606,2025,Q2-2025,إسبانيا
31545322.0192,268716.772,6404,2025,Q2-2025,إندونيسيا
242.41,18.81,4013,2025,Q2-2025,بلغاريا
4301.09,3000,2202,2025,Q2-2025,نيجيريا
2887968.75,500000,2301,2025,Q2-2025,الهند
113366.25,698,8431,2025,Q2-2025,لتوانيا
24435.98,224.51,8516,2025,Q2-2025,هونج كونج
863970.5326,35286.828,6302,2025,Q2-2025,بنجلادش
6936035.94,2008820.682,4810,2025,Q2-2025,كوريا الجنوبية
14848360.07,175948.728,8207,2025,Q2-2025,إيطاليا
7683663.01,29059.27,8536,2025,Q2-2025,إندونيسيا
3985.92,500,9023,2025,Q2-2025,كوستاريكا
2823.2,4.5,2923,2025,Q2-2025,اليابان
73118.26,1544,8404,2025,Q2-2025,الإمارات
5665.29,741.3,5904,2025,Q2-2025,إيطاليا
667506.7,375.71,8484,2025,Q2-2025,كندا
1456223.7,40506,0901,2025,Q2-2025,جواتيمالا
6567872.88,2531099,0810,2025,Q2-2025,الإكوادور
27387.17,90.007,8308,2025,Q2-2025,فرنسا
399463.83,1402.16,9028,2025,Q2-2025,الإمارات
165986.75,23516,8477,2025,Q2-2025,باكستان
3187560,217438,8477,2025,Q2-2025,كازاخستان
76282.97,534.9,2508,2025,Q2-2025,فرنسا
911403.99,16100,0404,2025,Q2-2025,المملكة المتحدة
84.51,25,6801,2025,Q2-2025,ألمانيا
2097.01,3.5,7501,2025,Q2-2025,الولايات المتحدة
1592417.13,3237.66,8542,2025,Q2-2025,سويسرا
37152.58,345,8542,2025,Q2-2025,تونس
15840.91,642,0711,2025,Q2-2025,إيرلندا
23079.86,706.032,6117,2025,Q2-2025,تايلاند
1650927.8553,290135.93,7216,2025,Q2-2025,كوريا الجنوبية
52078.13,160,7304,2025,Q2-2025,لاتفيا
9563.95,1.4,6405,2025,Q2-2025,نيكاراجوا
1399508.42,17383.8,8425,2025,Q2-2025,كوريا الجنوبية
316873.01,3578.6,0902,2025,Q2-2025,روسيا
120931.81,231,9026,2025,Q2-2025,جنوب إفريقيا
73551.17,1578,8514,2025,Q2-2025,سويسرا
39261.56,505,4421,2025,Q2-2025,صربيا
147635,67810,6914,2025,Q2-2025,اليمن
782087922.25,2118652.794,3004,2025,Q2-2025,ألمانيا
80587.3,1747.989,8532,2025,Q2-2025,مقدونيا
54203.14,2478.589,7413,2025,Q2-2025,بولندا
1862.12,45,8007,2025,Q2-2025,فيتنام
1107663.47,25828.64,8451,2025,Q2-2025,ألمانيا
4461108.06,654711.6,2004,2025,Q2-2025,ألمانيا
399158.25,45022.267,3902,2025,Q2-2025,ألمانيا
2256976.17,118999.37,7019,2025,Q2-2025,إيطاليا
20642474.796,598816.102,8547,2025,Q2-2025,الهند
322.71,1,8407,2025,Q2-2025,ألبانيا
12914.38,139,8416,2025,Q2-2025,بلجيكا
4350.14,15.3,9609,2025,Q2-2025,سويسرا
205423.05,1001.52,4820,2025,Q2-2025,إيطاليا
17375.69,1044.82,0706,2025,Q2-2025,فرنسا
193312.2928,1124.25,6111,2025,Q2-2025,المغرب
24368.06,7.5,9011,2025,Q2-2025,كندا
693.44,2,9002,2025,Q2-2025,فنلندا
112795.68,2883.34,8712,2025,Q2-2025,الإمارات
149300.69,26465.12,7321,2025,Q2-2025,الولايات المتحدة
4528.5,1,8421,2025,Q2-2025,أيسلندا
823.58,1035.64,4417,2025,Q2-2025,الهند
40857.05,800,7302,2025,Q2-2025,فنلندا
1899.95,50,8480,2025,Q2-2025,إندونيسيا
4.25,16,0409,2025,Q2-2025,كرواتيا
1659405.24,14680.96,8518,2025,Q2-2025,اليابان
65573.38,100,4908,2025,Q2-2025,إسبانيا
314635.17,497.57,8454,2025,Q2-2025,النمسا
4265.53,2,8516,2025,Q2-2025,روسيا
4971016.84,121609.8,9403,2025,Q2-2025,بلجيكا
46024.18,240.65,4006,2025,Q2-2025,ماليزيا
82.6953,60,8411,2025,Q2-2025,أوكرانيا
974481.28,4135.79,8418,2025,Q2-2025,كندا
269830.75,222.2,8448,2025,Q2-2025,النمسا
236543.21,179.386,6405,2025,Q2-2025,البرتغال
32690772.8747,2672570.204,7308,2025,Q2-2025,النمسا
58973.22,287,6109,2025,Q2-2025,صربيا
17812.29,8144,7011,2025,Q2-2025,الدنمارك
26281.26,103,8308,2025,Q2-2025,النمسا
52416.51,51060,3802,2025,Q2-2025,تركيا
20202.17,2422.86,5201,2025,Q2-2025,الصين
55706.86,59625,0703,2025,Q2-2025,مصر
4586.04,1.84,7317,2025,Q2-2025,كندا
224.14,0.1,6201,2025,Q2-2025,نيوزيلاندا
4215.13,6,4410,2025,Q2-2025,هولندا
264017.54,32561,4816,2025,Q2-2025,تايلاند
1235.5,66,7323,2025,Q2-2025,هونج كونج
62968.16,409.879,6504,2025,Q2-2025,فيتنام
828171.19,536.382,8209,2025,Q2-2025,الهند
130617.39,8750,4502,2025,Q2-2025,مصر
116920.47,273,8463,2025,Q2-2025,كندا
107766.82,2459.56,9406,2025,Q2-2025,كندا
3116.11,23.5,8408,2025,Q2-2025,إسبانيا
